,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tests,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,decay rate,,,,Element Durability per Gauge unit,,FPS freeze extension test,,,,,,,Data for Plot,,,,,,,
,,,1A,,,,9.50,,,,25.00,,30,,,,,,,,,,,,,,
,,,2B,,,,6.00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1A,,,,2B,,,
,Freeze start [s:frame],[s],attack GU,,Remaining hydro GU,,unfreeze [s:frame],[s],Time since last freeze [s],,time unfrozen [s],Time since first freeze [s],t_decay [s],expected initial freeze duration [e_d],expected freeze duration [s],expected freeze duration C1 [s],Actual freeze duration [s],Note,,t_decay [s],expected freeze duration [s],expected freeze duration C1 [s],Actual freeze duration [s],t_decay [s],expected freeze duration [s],expected freeze duration C1 [s],Actual freeze duration [s]
,Video,,https://youtu.be/RyFiu694jb4,,,,,,,,,,,,,,,,,1.47,2.89,3.33,1.47,1.13,5.18,5.96,5.00
,Enemy 1,,,,,,,,,,,,,,expected freeze duration [s],expected freeze duration C1 [s],Actual freeze duration [s],,,3.00,2.43,2.80,3.00,1.73,4.89,5.62,4.27
,46.35,46.58,47.47,47.78,,,49.41,49.68,53.10,53.17,50.00,3.48,,4.01,3.48,"Clip 4, right slime",,,,,,,,,,,
,56.51,56.85,57.50,57.83,,,60.23,60.38,63.51,63.85,50.00,3.48,,4.01,3.47,"Clip 5, left slime",,,,,,,,,,,
,56.51,56.85,57.50,57.83,,,60.23,60.38,63.51,63.85,50.00,3.48,,4.01,3.47,"Clip 5, middle slime",,,,,,,,,,,
,56.51,56.85,57.50,57.83,,,60.23,60.38,63.51,63.85,50.00,3.48,,4.01,3.47,"Clip 5, right slime",,,,,,,,,,,
,,,,,,,,,,,,,,Arithmethic Mean,3.48,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freeze A1 right after Mona Burst on Hilichurls,,,,,,https://youtu.be/R_lT-szlTc0,,,,FPS: 30,,,,,,,,,,,,,,,,
,Omen hit [s:frame],[s],Freeze start [s:frame],[s],unfreeze [s:frame],[s],unfreeze [s:frame],[s],expected initial freeze duration [e_d],,expected freeze duration [s],expected freeze duration C1 [s],,Actual freeze duration [s],Note,,,,,,,,,,,,
,34.13,34.43,36.22,36.73,,,40.06,40.20,50,,3.48,4.01,,3.47,"clip 1, left churl",,,,,,,,,,,,
,34.13,34.43,36.22,36.73,,,40.06,40.20,50,,3.48,4.01,,3.47,"clip 1, middle churl",,,,,,,,,,,,
,34.13,34.43,38.26,38.87,,,42.14,42.47,50,,3.48,4.01,,3.60,"clip 1, right churl",,,,,,,,,,,,
,53.06,53.20,55.17,55.57,,,59.07,59.23,50,,3.48,4.01,,3.67,"clip 2, left churl",,,,,,,,,,,,
,53.06,53.20,57.18,57.60,,,61.06,61.20,50,,3.48,4.01,,3.60,"clip 2, right churl",,,,,,,,,,,,
,71.23,71.77,76.02,76.07,,,79.17,79.57,50,,3.48,4.01,,3.50,"clip 3, middle churl",,,,,,,,,,,,
,97.28,97.93,100.17,100.57,,,103.28,103.93,50,,3.48,4.01,,3.37,"clip 4, left churl",,,,,,,,,,,,
,97.28,97.93,102.2,102.67,,,106.04,106.13,50,,3.48,4.01,,3.47,"clip 4, right churl",,,,,,,,,,,,
,,,,,,,,,,,,Arithmethic Mean,,3.52,,,,,,,,,,,,,
